state_name,state_code,district_name,district_code,block_name,block_code,gw_stge_of_extraction,gw_extraction_category
Jammu And Kashmir,1,Anantnag,1,Anantnag,6861,20.846188152712703,Safe
Jammu And Kashmir,1,Budgam,2,Badgam,14,23.28045094312111,Safe
Jammu And Kashmir,1,Baramulla,3,Baramulla,22,11.713208285441782,Safe
Jammu And Kashmir,1,Doda,4,Doda,43,44.60595283633319,Safe
Jammu And Kashmir,1,Kathua,7,Kathua,81,27.458035581835137,Safe
Jammu And Kashmir,1,Kupwara,8,Kupwara,85,10.52421482529115,Safe
Jammu And Kashmir,1,Poonch,10,Poonch,104,10.197405128099248,Safe
Jammu And Kashmir,1,Pulwama,11,Pulwama,109,38.01363097589885,Safe
Jammu And Kashmir,1,Rajouri,12,Rajouri,117,6.874328227865107,Safe
Jammu And Kashmir,1,Srinagar,13,Srinagar,122,58.51098425609364,Safe
Jammu And Kashmir,1,Udhampur,14,Udhampur,134,17.38797236672712,Safe
Jammu And Kashmir,1,Kishtwar,620,Kishtwar,47,12.179941646442888,Safe
Jammu And Kashmir,1,Ramban,621,Ramban,52,29.775855833673177,Safe
Jammu And Kashmir,1,Kulgam,622,Kulgam,7,21.64308452724949,Safe
Jammu And Kashmir,1,Bandipora,623,Bandipora,21,68.70602100592741,Safe
Jammu And Kashmir,1,Samba,624,Samba,64,9.931334611286466,Safe
Jammu And Kashmir,1,Shopian,625,Shopian,110,10.842624764921164,Safe
Jammu And Kashmir,1,Ganderbal,626,Ganderbal,119,32.80939787104668,Safe
Jammu And Kashmir,1,Reasi,627,Reasi,133,19.99537401912072,Safe
Himachal Pradesh,2,Kangra,18,Dharamshala,6504,13.756705312337772,Safe
Himachal Pradesh,2,Mandi,22,Balh,175,41.38997102494074,Safe
Himachal Pradesh,2,Mandi,22,Chauntra,177,23.765557686458777,Safe
Himachal Pradesh,2,Sirmaur,24,Paonta Sahib,196,22.43860463373221,Safe
Himachal Pradesh,2,Solan,25,Nalagarh,203,58.434053652794816,Safe
Himachal Pradesh,2,Una,26,Una,209,46.17377996203374,Safe
Punjab,3,Amritsar,27,Ajnala,210,154.16613472302328,Over-exploited
Punjab,3,Amritsar,27,Chogawan,212,136.83666555113152,Over-exploited
Punjab,3,Amritsar,27,Harshe Chhina,215,171.83188359955716,Over-exploited
Punjab,3,Amritsar,27,Jandiala Guru,216,220.54578481577812,Over-exploited
Punjab,3,Amritsar,27,Majitha,218,154.5375126654544,Over-exploited
Punjab,3,Amritsar,27,Rayya,221,175.08455086372007,Over-exploited
Punjab,3,Amritsar,27,Tarsikka,223,190.96243184979195,Over-exploited
Punjab,3,Amritsar,27,Verka,225,194.3166835509998,Over-exploited
Punjab,3,Amritsar,27,Attari,6621,164.38766863719144,Over-exploited
Punjab,3,Bathinda,28,Bathinda,226,106.73031761576505,Over-exploited
Punjab,3,Bathinda,28,Bhagta Bhaika,227,261.04721812761903,Over-exploited
Punjab,3,Bathinda,28,Maur,228,143.04647062764872,Over-exploited
Punjab,3,Bathinda,28,Nathana,229,108.90913560806806,Over-exploited
Punjab,3,Bathinda,28,Phul,230,134.4957727622844,Over-exploited
Punjab,3,Bathinda,28,Rampura,231,80.56706981826078,Semi-critical
Punjab,3,Bathinda,28,Sangat,232,39.74595383256778,Safe
Punjab,3,Bathinda,28,Talwandi Sabo,233,94.39657774,Critical
Punjab,3,Bathinda,28,Goniana,7333,198.10152110276923,Over-exploited
Punjab,3,Faridkot,29,Faridkot,234,139.3216898628132,Over-exploited
Punjab,3,Faridkot,29,Kot Kapura,235,116.75699264813808,Over-exploited
Punjab,3,Faridkot,29,Jaitu,7091,165.31389212099532,Over-exploited
Punjab,3,Fatehgarh Sahib,30,Amloh,236,234.78810140954485,Over-exploited
Punjab,3,Fatehgarh Sahib,30,Bassi Pathana,237,219.3555250104584,Over-exploited
Punjab,3,Fatehgarh Sahib,30,Khamano,238,167.83853443487922,Over-exploited
Punjab,3,Fatehgarh Sahib,30,Khera,239,187.87620672763987,Over-exploited
Punjab,3,Fatehgarh Sahib,30,Sirhind,240,206.36996856959965,Over-exploited
Punjab,3,Firozepur,31,Firozpur,243,101.64784714325296,Over-exploited
Punjab,3,Firozepur,31,Ghall Khurd,244,122.0485322024646,Over-exploited
Punjab,3,Firozepur,31,Guru Har Sahai,245,106.25677879764908,Over-exploited
Punjab,3,Firozepur,31,Makhu,248,131.67723195543812,Over-exploited
Punjab,3,Firozepur,31,Mamdot,249,170.0709672739998,Over-exploited
Punjab,3,Firozepur,31,Zira,250,250.7128820702228,Over-exploited
Punjab,3,Gurdaspur,32,Batala,252,152.06173111521127,Over-exploited
Punjab,3,Gurdaspur,32,Dera Baba Nanak,253,160.13203033026574,Over-exploited
Punjab,3,Gurdaspur,32,Dhariwal,254,151.30745865591817,Over-exploited
Punjab,3,Gurdaspur,32,Dinanagar,256,74.41450650311712,Semi-critical
Punjab,3,Gurdaspur,32,Dorangla,257,67.02867160759504,Safe
Punjab,3,Gurdaspur,32,Fatehgarh Churian,258,152.7794774188243,Over-exploited
Punjab,3,Gurdaspur,32,Gurdaspur,259,99.36171214,Critical
Punjab,3,Gurdaspur,32,Kahnuwan,260,126.84805267538366,Over-exploited
Punjab,3,Gurdaspur,32,Kalanaur,261,155.17199588286778,Over-exploited
Punjab,3,Gurdaspur,32,Qadian,264,99.09426723327869,Critical
