as_on,state_name,state_code,district_name,district_code,block_name,block_code,sc_population,st_population,gen_population
01-04-2021,Andaman & Nicobar Islands,35,Nicobars,603,Car Nicobar,6499,0,15027,2814
01-04-2021,Andaman & Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,0,823,7134
01-04-2021,Andaman & Nicobar Islands,35,Nicobars,603,Nancowrie,6500,0,6078,2992
01-04-2021,Andaman & Nicobar Islands,35,North And Middle Andaman,632,Diglipur,6492,0,117,38585
01-04-2021,Andaman & Nicobar Islands,35,North And Middle Andaman,632,Mayabunder,6495,0,187,23364
01-04-2021,Andaman & Nicobar Islands,35,North And Middle Andaman,632,Rangat,6497,0,285,35936
01-04-2021,Andaman & Nicobar Islands,35,South Andamans,602,Ferrargunj,6493,0,271,52016
01-04-2021,Andaman & Nicobar Islands,35,South Andamans,602,Little Andaman,6494,0,1397,16636
01-04-2021,Andaman & Nicobar Islands,35,South Andamans,602,Prothrapur,6496,0,354,48188
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Agali,4686,8301,287,31377
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Amadagur,4687,4120,1614,25250
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Amarapuram,4688,14091,568,46527
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Anantapur,4689,17904,4387,114154
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Atmakur,4690,5862,4610,31192
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Bathalapalle,4691,6799,2747,33093
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Beluguppa,4692,9730,4275,35765
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Bommanahal,4693,7757,516,52961
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Brahmasamudram,4694,8676,1449,36505
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Bukkapatnam,4695,4163,3625,37436
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Bukkarayasamudram,4696,11739,2858,58234
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Chenne Kothapalle,4697,7234,1839,39487
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Chilamathur,4698,7190,1534,44928
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,D.Hirehal,4699,7526,973,42480
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Dharmavaram,4700,8242,3163,41853
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Gandlapenta,4701,3361,2846,20768
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Garladinne,4702,9800,1445,42822
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Gooty,4703,5765,1728,31384
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Gorantla,4704,8748,6663,62387
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Gudibanda,4705,13349,1378,42958
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Gummagatta,4706,9888,618,43402
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Guntakal,4707,5876,4347,38866
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Hindupur,4708,10228,290,43184
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Kadiri,4709,2501,6642,26996
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Kalyandrug,4710,9372,3321,38883
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Kambadur,4711,13073,3032,39219
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Kanaganapalle,4712,7095,3146,33256
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Kanekal,4713,10796,210,60061
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Kothacheruvu,4714,3829,1477,34392
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Kudair,4715,7003,2185,30148
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Kundurpi,4716,5187,3348,49632
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Lepakshi,4717,7853,172,40893
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Madakasira,4718,15275,2524,47064
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Mudigubba,4719,5972,7664,47220
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Nallacheruvu,4720,2682,2000,25719
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Nallamada,4721,5017,4789,31789
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Nambulipulikunta,4722,3599,1887,24804
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Narpala,4723,11240,1147,48352
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Obuladevaracheruvu,4724,5889,2894,38967
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Pamidi,4725,4341,2876,23642
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Parigi,4726,15276,428,48441
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Peddapappur,4727,7001,277,29802
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Peddavadugur,4728,9709,238,39612
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Penu Konda,4729,4443,2502,21053
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Putlur,4730,8097,14,36032
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Puttaparthi,4731,3643,2643,22005
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Ramagiri,4732,7597,961,28626
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Raptadu,4733,5120,465,31763
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Rayadurg,4734,8631,2327,33819
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Roddam,4735,10841,559,44366
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Rolla,4736,8887,1680,39604
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Settur,4737,9261,779,37520
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Singanamala,4738,10056,1872,33286
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Somandepalle,4739,8585,1436,42106
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Tadimarri,4740,5842,770,27540
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Tadipatri,4741,10345,471,48629
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Talupula,4742,4191,2465,37561
