year,state_code,state_name,district_code,district_name,block_code,block_name,num_jobcards_applied,num_jobcards_issued,total_reg_workers,women_reg_workers,num_of_active_job_cards
2019-2020,35,Andaman And Nicobar Islands,603,Nicobars,6500,Nancowry,1955,1955,4032,1883,653
2019-2020,35,Andaman And Nicobar Islands,603,Nicobars,6499,Nicobar,2437,2437,3009,1086,653
2019-2020,35,Andaman And Nicobar Islands,603,Nicobars,6498,Campbell Bay,1332,1331,2639,1317,0
2019-2020,35,Andaman And Nicobar Islands,632,North And Middle Andaman,6495,Mayabunder,4500,4455,7557,3473,3202
2019-2020,35,Andaman And Nicobar Islands,632,North And Middle Andaman,6492,Diglipur,8445,8349,14061,5969,3613
2019-2020,35,Andaman And Nicobar Islands,632,North And Middle Andaman,6497,Rangat,5509,5404,8273,3688,2516
2019-2020,35,Andaman And Nicobar Islands,602,South Andamans,6496,Prothrapur,1821,1795,2444,1316,850
2019-2020,35,Andaman And Nicobar Islands,602,South Andamans,6493,Ferrargunj,6729,6726,9937,5334,3323
2019-2020,35,Andaman And Nicobar Islands,602,South Andamans,6494,Little Andaman,980,980,1133,549,711
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4699,D.Hirchal,10640,10640,12756,6753,5486
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4693,Bommanahal,13613,13613,18768,9840,7442
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4746,Vidapanakal,14004,14004,19485,9856,6734
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4745,Vajrakarur,17535,17535,21828,11314,9819
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4707,Guntakal,13961,13961,21688,10971,7520
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4703,Gooty,13467,13467,19411,10069,7511
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4728,Peddavadugur,12600,12600,20695,10435,7582
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4747,Yadiki,15399,15399,16286,8937,6653
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4741,Tadpatri,12389,12389,14996,8252,7241
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4727,Peddapappur,10575,10575,18883,9612,6634
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4738,Singanamala,14025,14025,19209,9929,9414
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4725,Pamidi,11594,11594,18915,9559,6505
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4702,Garladinne,15961,15961,17782,9516,8398
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4715,Kudair,11535,11535,13140,6601,5738
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4744,Uravakonda,20839,20839,20101,10760,6672
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4692,Beluguppa,13770,13770,16383,8404,6548
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4713,Kanekal,12243,12243,14306,7453,6176
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4734,Rayadurg,13499,13499,16023,8216,6799
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4706,Gummagatta,14852,14852,18723,9559,6873
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4694,Brahmasamudram,13434,13434,18385,9471,7126
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4737,Settur,13172,13172,14774,7562,5829
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4716,Kundurpi,14367,14367,16829,8564,6837
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4710,Kalyandurg,14897,14897,22104,11269,10084
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4690,Atmakur,12725,12725,18028,9321,7454
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4689,Anantapur,16781,16781,15232,8843,6235
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4696,Bukkarayasamudram,18535,18535,22541,12463,7232
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4723,Narpala,19871,19871,25073,12941,9947
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4730,Putlur,12310,12310,18912,9690,7586
2019-2020,28,Andhra Pradesh,502,Ananthapuramu,4748,Yellanur,13876,13876,18691,9685,8422
