year,state_code,state_name,district_code,district_name,block_code,block_name,tot_expenditure,tot_mandays
2017-2021,1,Jammu And Kashmir,1,Anantnag,1,Achabal,3009,33749279
2017-2021,1,Jammu And Kashmir,1,Anantnag,2,Breng,3195,40922707
2017-2021,1,Jammu And Kashmir,1,Anantnag,3,Dachnipora,2863,52655148
2017-2021,1,Jammu And Kashmir,622,Kulgam,4,Devsar,2845,56585277
2017-2021,1,Jammu And Kashmir,622,Kulgam,5,D.H.Pora,1921,22102397
2017-2021,1,Jammu And Kashmir,1,Anantnag,6,Khoveripora,5772,66803664
2017-2021,1,Jammu And Kashmir,622,Kulgam,7,Kulgam,3644,39539829
2017-2021,1,Jammu And Kashmir,622,Kulgam,8,Pahloo,1261,11293021
2017-2021,1,Jammu And Kashmir,622,Kulgam,9,Quamoh,2834,39306718
2017-2021,1,Jammu And Kashmir,1,Anantnag,11,Shahabad,2865,21276812
2017-2021,1,Jammu And Kashmir,1,Anantnag,12,Shangus,1629,14866655
2017-2021,1,Jammu And Kashmir,2,Budgam,13,B.K.Pora,876,6685424
2017-2021,1,Jammu And Kashmir,2,Budgam,14,Badgam,2184,30206527
2017-2021,1,Jammu And Kashmir,2,Budgam,15,Beerwah,1141,19978162
2017-2021,1,Jammu And Kashmir,2,Budgam,16,Chadoora,1139,13860901
2017-2021,1,Jammu And Kashmir,2,Budgam,17,Khag,1296,15355026
2017-2021,1,Jammu And Kashmir,2,Budgam,18,Khan-Sahib,1200,15923188
2017-2021,1,Jammu And Kashmir,2,Budgam,19,Nagam,641,14605990
2017-2021,1,Jammu And Kashmir,2,Budgam,20,Narbal,569,4068927
2017-2021,1,Jammu And Kashmir,623,Bandipora,21,Bandipore,1134,14764527
2017-2021,1,Jammu And Kashmir,3,Baramulla,22,Baramulla,720,9007512
2017-2021,1,Jammu And Kashmir,3,Baramulla,23,Boniyar,567,9669509
2017-2021,1,Jammu And Kashmir,623,Bandipora,24,Gurez,334,1214422
2017-2021,1,Jammu And Kashmir,623,Bandipora,25,Hajin,1072,20460167
2017-2021,1,Jammu And Kashmir,3,Baramulla,26,Kunzer,509,7291104
2017-2021,1,Jammu And Kashmir,3,Baramulla,27,Pattan,1509,12620229
2017-2021,1,Jammu And Kashmir,3,Baramulla,28,Rafiabad,403,3196863
2017-2021,1,Jammu And Kashmir,3,Baramulla,29,Rohama,545,3986562
2017-2021,1,Jammu And Kashmir,3,Baramulla,30,Singhpora,1589,20278831
2017-2021,1,Jammu And Kashmir,3,Baramulla,31,Sopore,350,5513896
2017-2021,1,Jammu And Kashmir,623,Bandipora,32,Sumbal,571,3444517
2017-2021,1,Jammu And Kashmir,3,Baramulla,33,Tangmarg,1084,12760178
2017-2021,1,Jammu And Kashmir,3,Baramulla,34,Uri,596,4599317
2017-2021,1,Jammu And Kashmir,3,Baramulla,35,Wagoora,1416,15877974
2017-2021,1,Jammu And Kashmir,3,Baramulla,36,Zaingeer,514,7696411
2017-2021,1,Jammu And Kashmir,4,Doda,37,Assar,2654,44567868
2017-2021,1,Jammu And Kashmir,621,Ramban,38,Banihal,2084,14406906
2017-2021,1,Jammu And Kashmir,4,Doda,39,Bhaderwah,4313,58331283
2017-2021,1,Jammu And Kashmir,4,Doda,40,Bhagwah,3495,61953705
2017-2021,1,Jammu And Kashmir,4,Doda,41,Bhalessa(Gandoh),3273,42417151
2017-2021,1,Jammu And Kashmir,620,Kishtwar,42,Dachan,3881,49490675
2017-2021,1,Jammu And Kashmir,4,Doda,43,Doda,3289,46576970
2017-2021,1,Jammu And Kashmir,620,Kishtwar,44,Drabshalla,6797,74098442
2017-2021,1,Jammu And Kashmir,4,Doda,45,Gundana,3212,40726803
2017-2021,1,Jammu And Kashmir,620,Kishtwar,46,Inderwal,5512,80603380
2017-2021,1,Jammu And Kashmir,620,Kishtwar,47,Kishtwar,2356,24364356
2017-2021,1,Jammu And Kashmir,4,Doda,48,Marmat,2674,38885449
2017-2021,1,Jammu And Kashmir,620,Kishtwar,49,Marwah,2797,63315439
2017-2021,1,Jammu And Kashmir,620,Kishtwar,50,Nagsani,4903,83973075
2017-2021,1,Jammu And Kashmir,620,Kishtwar,51,Padder,3951,49141826
2017-2021,1,Jammu And Kashmir,621,Ramban,52,Ramban,1566,20609190
2017-2021,1,Jammu And Kashmir,621,Ramban,53,Ramsoo,855,10689901
2017-2021,1,Jammu And Kashmir,4,Doda,54,Thathri,1911,24948032
2017-2021,1,Jammu And Kashmir,620,Kishtwar,55,Warwan,1468,26034607
2017-2021,1,Jammu And Kashmir,5,Jammu,56,Akhnoor,746,13957111
2017-2021,1,Jammu And Kashmir,5,Jammu,57,Bhalwal,759,13109044
2017-2021,1,Jammu And Kashmir,5,Jammu,58,Bishnah,681,3774357
2017-2021,1,Jammu And Kashmir,5,Jammu,59,Dansal,1227,17352089
2017-2021,1,Jammu And Kashmir,5,Jammu,60,Khour,399,7155806
2017-2021,1,Jammu And Kashmir,5,Jammu,61,Marh,2217,44729928
2017-2021,1,Jammu And Kashmir,624,Samba,62,Purmandal,272,5024658
2017-2021,1,Jammu And Kashmir,5,Jammu,63,R.S. Pura,346,4073905
2017-2021,1,Jammu And Kashmir,624,Samba,64,Samba,354,7128227
2017-2021,1,Jammu And Kashmir,5,Jammu,65,Satwari,799,16893770
2017-2021,1,Jammu And Kashmir,624,Samba,66,Vijaypur,549,8119138
2017-2021,37,Ladakh,6,Kargil,67,Drass,496,241854
2017-2021,37,Ladakh,6,Kargil,68,Kargil,712,384356
2017-2021,37,Ladakh,6,Kargil,69,Sankoo,775,357927
2017-2021,37,Ladakh,6,Kargil,70,Shaker-Chiktan,438,230135
2017-2021,37,Ladakh,6,Kargil,71,Shargole,237,123124
2017-2021,37,Ladakh,6,Kargil,72,Taisuru,490,265630
2017-2021,37,Ladakh,6,Kargil,73,Zanskar,347,188595
2017-2021,1,Jammu And Kashmir,7,Kathua,74,Bani,942,13197584
2017-2021,1,Jammu And Kashmir,7,Kathua,75,Barnoti,1719,30104781
2017-2021,1,Jammu And Kashmir,7,Kathua,76,Basohli,601,9623791
2017-2021,1,Jammu And Kashmir,7,Kathua,77,Billawar,879,8440404
2017-2021,1,Jammu And Kashmir,7,Kathua,78,Duggan,467,4338967
2017-2021,1,Jammu And Kashmir,624,Samba,79,Ghagwal,602,9214607
2017-2021,1,Jammu And Kashmir,7,Kathua,80,Hiranagar,559,6528347
2017-2021,1,Jammu And Kashmir,7,Kathua,81,Kathua,879,11613787
2017-2021,1,Jammu And Kashmir,7,Kathua,82,Lohai-Malhar,727,3044702
2017-2021,1,Jammu And Kashmir,8,Kupwara,83,Kalarooch,2481,36598706
2017-2021,1,Jammu And Kashmir,8,Kupwara,84,Kralpora,1810,12857511
2017-2021,1,Jammu And Kashmir,8,Kupwara,85,Kupwara,2061,28662010
2017-2021,1,Jammu And Kashmir,8,Kupwara,86,Langate,595,6224904
