year,state_name,state_code,district_name,district_code,block_name,block_code,num_joint_acc_of_women,num_total_acc_of_women,num_women_beneficiary_worker_with_acc,num_women_beneficiary_active_worker_with_acc
2019-2020,Andaman And Nicobar Islands,35,Nicobars,603,Campbell Bay,6498,64,1243,456,61
2019-2020,Andaman And Nicobar Islands,35,Nicobars,603,Nancowry,6500,67,1137,892,364
2019-2020,Andaman And Nicobar Islands,35,Nicobars,603,Nicobar,6499,89,863,570,95
2019-2020,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Diglipur,6492,159,5504,4118,1357
2019-2020,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Mayabunder,6495,0,3166,3425,1313
2019-2020,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Rangat,6497,51,4180,3116,1001
2019-2020,Andaman And Nicobar Islands,35,South Andamans,602,Ferrargunj,6493,693,6849,4400,1505
2019-2020,Andaman And Nicobar Islands,35,South Andamans,602,Little Andaman,6494,267,2021,463,124
2019-2020,Andaman And Nicobar Islands,35,South Andamans,602,Prothrapur,6496,61,1683,1183,486
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Agali,4686,3,5936,5930,4852
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Amadagur,4687,2,6866,6356,5452
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Amarapuram,4688,2,8594,7701,5178
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Anantapur,4689,0,9897,8340,5848
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Atmakur,4690,0,8795,9053,7572
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Bathalapalle,4691,2,8643,8127,6440
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Beluguppa,4692,0,9123,8164,6527
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Bommanahal,4693,2,10531,9630,8017
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Brahmasamudram,4694,2,9310,8902,7424
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Bukkapatnam,4695,2,7892,7768,6584
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Bukkarayasamudram,4696,0,11040,11889,9400
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Chenne Kothapalle,4697,2,11539,12354,11332
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Chilamathur,4698,2,6865,6995,4943
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,D.Hirchal,4699,0,7384,6494,5351
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Dharmavaram,4700,0,9797,10752,8909
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Gandlapenta,4701,3,6621,6972,5990
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Garladinne,4702,0,10735,9337,7683
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Gooty,4703,1,10358,9734,8939
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Gorantla,4704,0,10569,11334,8348
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Gudibanda,4705,2,9346,8608,7133
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Gummagatta,4706,0,9852,9276,7805
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Guntakal,4707,1,10580,10644,9223
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Hindupur,4708,0,4854,3189,2153
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Kadiri,4709,0,7460,7526,6616
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Kalyandurg,4710,0,12849,10946,8854
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Kambadur,4711,0,10207,8386,7181
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Kanaganapalle,4712,0,11135,12877,11294
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Kanekal,4713,0,8644,7121,5897
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Kothacheruvu,4714,3,7017,7299,4980
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Kudair,4715,0,8174,6582,5164
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Kundurpi,4716,0,9315,8002,6783
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Lepakshi,4717,0,6487,4812,3758
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Madakasira,4718,0,10437,9007,6561
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Mudigubba,4719,1,14489,13281,11349
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Nallacheruvu,4720,0,5737,4996,4541
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Nallamada,4721,0,8630,8888,7499
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Nambulipulikunta,4722,1,6710,6696,6039
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Narpala,4723,0,12743,12391,11377
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Obuladevaracheruvu,4724,2,9539,9883,8307
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Pamidi,4725,0,7587,9402,6617
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Parigi,4726,0,7667,6830,5237
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Peddapappur,4727,0,8410,9469,8603
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Peddavadugur,4728,0,10261,10271,8828
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Penu Konda,4729,2,6977,5581,4559
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Putlur,4730,0,9330,9595,8328
