year,state_code,state_name,district_code,district_name,block_code,block_name,total_population,total_households,hh_non_farm_activities,total_shgs,total_shgs_accessed_bank_loans,total_hhs_mobilizedinto_pgs,anaemic_pregnant_women,anaemic_adolescent_girls,hh_kutcha_wall_roof,hhs_availing_benefits_PMUY,tot_area_irrigated,tot_area_unirrigated,num_vill_no_elec,num_vill_elec_1_4_hrs,num_vill_elec_4_8_hrs,num_vill_elec_8_12_hrs,num_vill_elec_mt_12_hrs,pop_all_weather_road,vill_all_weather_road,total_vill_rain_water_harvesting_system,total_bc_w_internet,total_villages,total_vill_survey_completed
2020,6,Haryana,58,Ambala,447,Ambala-I,157185,31057,11401,849,341,501,365,289,1438,5766,24155.066,4058,0,0,0,13,0,147215,120,85,26,129,129
2020,6,Haryana,58,Ambala,448,Ambala-Ii,35537,8855,1740,244,56,17,31,38,264,1555,2123.9599999999996,695,0,0,0,4,0,35537,18,8,3,18,18
2020,6,Haryana,58,Ambala,449,Barara,137465,26472,15320,529,281,0,31,30,1514,4733,22650.99,1469,1,0,0,1,1,133308,72,47,28,76,76
2020,6,Haryana,58,Ambala,450,Naraingarh,159403,23797,9493,569,113,127,128,65,2550,3072,26244.940000000002,4020,0,0,1,1,0,141856,91,73,39,105,105
2020,6,Haryana,58,Ambala,451,Saha,119109,23330,9533,180,62,188,76,53,1368,4279,16575.019999999997,691,0,0,0,2,0,115502,66,37,24,68,68
2020,6,Haryana,58,Ambala,452,Shahzadpur,161564,29317,5895,185,1,49,168,1,1456,944,16251.705,1507,0,0,1,12,0,89711,52,29,11,87,87
2020,6,Haryana,701,Charki Dadri,453,Badhra,150949,28272,5780,57,3,2,412,144,542,5144,46460.75,2825,0,0,1,29,0,139833,53,27,16,57,57
2020,6,Haryana,59,Bhiwani,454,Bawani Khera,229861,45871,8488,981,421,98,486,428,648,11901,61483.0,2388,0,0,2,4,0,220616,46,40,18,47,47
2020,6,Haryana,59,Bhiwani,455,Behal,80295,14787,2328,233,23,54,164,144,312,2169,25016.63,2778,0,0,0,1,0,78162,30,28,1,31,31
2020,6,Haryana,59,Bhiwani,456,Bhiwani,466291,100917,30655,1339,750,2142,670,1222,4755,22159,67534.191,22775,0,0,3,47,0,449666,86,39,21,95,95
2020,6,Haryana,59,Bhiwani,459,Kairu,115561,24178,10679,348,30,9,672,464,210,4885,15635.0,14845,0,0,0,13,0,114195,39,16,15,40,40
2020,6,Haryana,59,Bhiwani,460,Loharu,124933,22134,4827,294,56,91,194,144,374,6052,34134.0,9418,0,0,0,13,0,121108,50,21,10,53,53
2020,6,Haryana,59,Bhiwani,461,Siwani,108992,20496,2076,427,45,7,166,269,456,4273,21088.4,32719,0,1,1,25,0,107081,43,15,3,45,45
2020,6,Haryana,59,Bhiwani,462,Tosham,283594,51280,13949,613,338,907,305,755,2589,16155,52055.429123,29908,0,0,8,18,0,267144,58,50,6,62,62
2020,6,Haryana,60,Faridabad,463,Ballabgarh,201449,46306,6742,369,174,246,552,400,1260,4325,11743.313999999998,3569,5,2,4,22,5,167404,37,24,9,49,49
2020,6,Haryana,60,Faridabad,464,Faridabad,121587,19629,7935,206,56,438,285,99,339,3941,5154.494500000001,696,0,0,1,24,0,107685,30,21,7,39,39
2020,6,Haryana,619,Palwal,465,Hassanpur,156922,16424,5126,55,1,13,119,13,874,1438,5098.08,7,2,0,1,35,2,108321,27,10,1,51,51
2020,6,Haryana,619,Palwal,466,Hathin,435658,57282,14081,698,277,1789,2241,2519,5683,17123,26415.37,3945,0,0,4,62,0,384360,81,73,7,93,93
2020,6,Haryana,619,Palwal,467,Hodal,257819,46340,14759,248,11,7,97,40,2321,2660,15813.772,1124,0,0,1,12,0,253248,36,16,12,39,39
2020,6,Haryana,619,Palwal,468,Palwal,121782,21423,7269,275,72,781,182,40,1076,681,13016.017,123,2,1,7,30,2,104989,37,12,8,48,48
2020,6,Haryana,61,Fatehabad,469,Bhattu Kalan,106620,21039,7424,297,207,0,653,0,1481,3153,34154.0,2088,1,0,0,0,1,101619,28,18,16,30,30
2020,6,Haryana,61,Fatehabad,470,Bhuna,170563,32723,12300,289,201,311,56,21,2020,3427,29447.0,8882,0,0,0,13,0,149453,33,3,18,36,36
2020,6,Haryana,61,Fatehabad,471,Fatehabad,195832,37351,11420,918,591,727,243,241,1601,7854,48245.352,7006,3,1,0,10,3,143618,62,39,34,78,78
2020,6,Haryana,61,Fatehabad,472,Jakhal,75859,11143,5914,489,229,135,100,32,1061,4445,13294.33,2535,0,2,1,8,0,51473,20,14,5,27,27
2020,6,Haryana,61,Fatehabad,473,Ratia,168391,24424,9944,807,480,805,340,547,2419,8268,42423.239,2971,1,0,4,4,1,147573,51,30,14,62,62
2020,6,Haryana,61,Fatehabad,474,Tohana,154154,29621,12394,948,394,632,557,850,3896,7123,21091.953404000004,11191,0,1,1,20,0,132614,44,33,17,54,54
2020,6,Haryana,62,Gurugram,475,Farrukh Nagar,120486,22907,8661,375,56,357,80,37,17,2414,17384.45,1273,1,0,0,8,1,107676,45,27,21,53,53
2020,6,Haryana,604,Nuh,476,Ferozepur Jhirka,253472,32920,9187,525,69,853,1541,935,2206,10624,18619.23,4513,0,0,2,48,0,179661,49,24,18,67,67
2020,6,Haryana,62,Gurugram,477,Gurgaon,26243,4189,1701,74,34,2,20,2,17,249,1661.2,483,0,0,1,0,0,26243,10,9,3,10,10
2020,6,Haryana,604,Nuh,478,Nagina,193165,25732,5066,447,169,469,1111,204,3542,5580,8596.869999999999,8533,0,1,16,39,0,114350,30,7,8,57,57
2020,6,Haryana,604,Nuh,479,Nuh,342896,44443,12569,570,218,352,1655,979,1660,7477,7476.97,3745,8,4,18,32,8,265208,45,22,12,70,70
2020,6,Haryana,62,Gurugram,480,Pataudi,183216,34068,10984,716,307,190,83,119,167,2085,15199.675899999998,887,1,2,1,40,1,151932,68,48,9,91,91
2020,6,Haryana,604,Nuh,481,Punahana,432324,43530,3115,516,25,43,921,1979,4973,17789,17474.29,1585,2,0,1,48,2,416434,59,45,51,63,63
2020,6,Haryana,62,Gurugram,482,Sohna,83881,15109,7962,181,38,45,161,21,53,2424,7161.0,869,0,0,0,15,0,77436,42,36,12,47,47
2020,6,Haryana,604,Nuh,483,Taoru,239660,33512,10703,921,672,95,264,86,639,9438,13672.470000000001,473,0,0,0,58,0,233730,77,19,29,84,84
2020,6,Haryana,63,Hisar,484,Adampur,165895,28574,10549,125,18,86,131,110,719,5042,50735.14,3510,0,0,0,4,0,165895,30,30,18,30,30
2020,6,Haryana,63,Hisar,485,Agroha,112730,22455,6788,83,17,0,82,63,1092,2734,27844.0,3099,0,0,0,19,0,84660,15,16,9,23,23
2020,6,Haryana,63,Hisar,486,Barwala,202508,37676,13097,155,38,298,474,427,3179,11284,34183.43,4540,0,0,3,27,0,195431,41,23,9,43,43
2020,6,Haryana,63,Hisar,487,Hansi-I,272771,52256,12093,156,53,378,943,760,1873,4669,56186.520000000004,5238,0,1,4,12,0,233251,53,41,13,58,58
2020,6,Haryana,63,Hisar,488,Hansi-Ii,93476,15819,5533,115,18,25,151,104,1839,2105,23680.0,1558,0,0,0,17,0,93356,19,20,10,20,20
2020,6,Haryana,63,Hisar,489,Hisar-I,227166,47581,15010,294,229,659,395,345,2711,7331,35126.04,8323,0,1,2,20,0,227166,48,37,12,48,48
2020,6,Haryana,63,Hisar,490,Hisar-Ii,195403,35809,11872,283,85,500,502,697,1364,11154,29997.07,10625,0,0,1,20,0,194304,45,34,18,46,46
