state_name,district_name,block_name,state_code,district_code,block_code,total_shg_loan_amount
Andaman And Nicobar Islands,Nicobars,Campbell Bay,35,603,6498,300000
Andaman And Nicobar Islands,North And Middle Andaman,Diglipur,35,632,6492,300000
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,28,745,4865,22789182
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,28,745,5584,50839791
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,28,745,5585,29434000
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,28,745,5589,14167100
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,28,745,5062,805000
Andhra Pradesh,Alluri Sitharama Raju,Devipatnam,28,745,4874,8865000
Andhra Pradesh,Alluri Sitharama Raju,Dumbriguda,28,745,5592,32315081
Andhra Pradesh,Alluri Sitharama Raju,G.Madugula,28,745,5593,13004000
Andhra Pradesh,Alluri Sitharama Raju,Gangavaram,28,745,4876,14698154
Andhra Pradesh,Alluri Sitharama Raju,Gudem Kotha Veedhi,28,745,5596,13085952
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,28,745,5597,16959800
Andhra Pradesh,Alluri Sitharama Raju,Koyyuru,28,745,5601,24244000
Andhra Pradesh,Alluri Sitharama Raju,Maredumilli,28,745,4895,10415000
Andhra Pradesh,Alluri Sitharama Raju,Munchingi Puttu,28,745,5605,5727900
Andhra Pradesh,Alluri Sitharama Raju,Paderu,28,745,5609,21249800
Andhra Pradesh,Alluri Sitharama Raju,Peda Bayalu,28,745,5613,31988000
Andhra Pradesh,Alluri Sitharama Raju,Rajavommangi,28,745,4905,23284000
Andhra Pradesh,Alluri Sitharama Raju,Rampachodavaram,28,745,4907,16458070
Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,28,745,4920,27187000
Andhra Pradesh,Anakapalli,Achutapuram,28,744,5581,82668297
Andhra Pradesh,Anakapalli,Anakapalle,28,744,5582,88355519
Andhra Pradesh,Anakapalli,Butchayyapeta,28,744,5587,48850294
Andhra Pradesh,Anakapalli,Cheedikada,28,744,5588,18050000
Andhra Pradesh,Anakapalli,Chodavaram,28,744,5590,40420000
Andhra Pradesh,Anakapalli,Devarapalle,28,744,5591,24031000
Andhra Pradesh,Anakapalli,Golugonda,28,744,5595,16763173
Andhra Pradesh,Anakapalli,K.Kotapadu,28,744,5598,55037000
